wx wy wz q0 q1 q2 q3
-1.60850787421e-08 -0.0011197342022 5.94784689679e-06 5.7935366097e-07 0.382682231461 1.40782190971e-06 0.92388002994 
-3.31074676294e-08 -0.00112481266374 1.18955195907e-05 2.29224804675e-06 0.382678684599 5.56502669315e-06 0.923881499066 
-5.10767997916e-08 -0.00112989110976 1.78430191105e-05 5.14127860023e-06 0.382672791761 1.24704493795e-05 0.923883939824 
-7.00027081103e-08 -0.00113496954088 2.37903464876e-05 9.12903518483e-06 0.382664552909 2.21229243577e-05 0.923887352102 
-8.9894825225e-08 -0.00114004795774 2.97375027558e-05 1.42581020703e-05 0.382653967987 3.45212853489e-05 0.923891735751 
-1.1076278354e-07 -0.00114512636094 3.56844889512e-05 2.05310579178e-05 0.382641036924 4.96643653776e-05 0.923897090575 
-1.32616215229e-07 -0.0011502047511 4.16313061124e-05 2.79504757654e-05 0.382625759627 6.75509967426e-05 0.92390341634 
-1.55464752246e-07 -0.00115528312883 4.75779552803e-05 3.65189230121e-05 0.382608135987 8.81800109874e-05 0.923910712768 
-1.79318026325e-07 -0.00116036149475 5.35244374984e-05 4.62389614024e-05 0.382588165878 0.00011155023887 0.923918979537 
-2.04185668995e-07 -0.00116543984944 5.94707538124e-05 5.71131470101e-05 0.382565849153 0.000137660510329 0.923928216286 
-2.30077311577e-07 -0.00117051819352 6.54169052704e-05 6.91440302219e-05 0.382541185649 0.000166509654459 0.923938422611 
-2.57002585197e-07 -0.00117559652758 7.1362892923e-05 8.23341557205e-05 0.382514175184 0.000198096499468 0.923949598064 
-2.8497112079e-07 -0.00118067485221 7.73087178228e-05 9.66860624672e-05 0.382484817558 0.000232419872653 0.923961742157 
-3.13992549108e-07 -0.001185753168 8.32543810252e-05 0.000112202283685 0.382453112553 0.000269478600363 0.92397485436 
-3.44076500722e-07 -0.00119083147553 8.91998835877e-05 0.000128885346839 0.382419059932 0.000309271507963 0.9239889341 
-3.75232606035e-07 -0.00119590977538 9.514522657e-05 0.00014673777362 0.382382659441 0.000351797419802 0.924003980763 
-4.07470495282e-07 -0.00120098806813 0.000101090411034 0.000165762079926 0.382343910806 0.000397055159175 0.92401999369 
-4.40799798539e-07 -0.00120606635435 0.000107035438045 0.000185960775839 0.382302813736 0.000445043548289 0.924036972185 
-4.75230145731e-07 -0.00121114463461 0.00011298030867 0.000207336365612 0.382259367921 0.000495761408222 0.924054915505 
-5.10771166635e-07 -0.00121622290946 0.000118925023976 0.000229891347642 0.382213573032 0.000549207558893 0.924073822869 
-5.47432490888e-07 -0.00122130117947 0.000124869585036 0.000253628214458 0.382165428722 0.000605380819014 0.924093693451 
-5.85223747995e-07 -0.00122637944519 0.000130813992924 0.000278549452691 0.382114934627 0.00066428000606 0.924114526386 
-6.24154567329e-07 -0.00123145770717 0.000136758248715 0.000304657543061 0.382062090362 0.000725903936222 0.924136320764 
-6.64234578144e-07 -0.00123653596595 0.000142702353487 0.000331954960353 0.382006895526 0.000790251424373 0.924159075635 
-7.0547340958e-07 -0.00124161422208 0.00014864630832 0.00036044417339 0.381949349696 0.000857321284023 0.924182790008 
-7.47880690666e-07 -0.00124669247608 0.000154590114298 0.000390127645022 0.381889452435 0.000927112327282 0.924207462847 
-7.91466050327e-07 -0.0012517707285 0.000160533772505 0.00042100783209 0.381827203283 0.000999623364812 0.924233093077 
-8.36239117392e-07 -0.00125684897985 0.000166477284029 0.000453087185416 0.381762601764 0.00107485320579 0.92425967958 
-8.82209520599e-07 -0.00126192723066 0.000172420649957 0.00048636814977 0.381695647383 0.00115280065786 0.924287221196 
-9.29386888603e-07 -0.00126700548144 0.000178363871382 0.00052085316385 0.381626339625 0.00123346452709 0.924315716723 
-9.77780849978e-07 -0.0012720837327 0.000184306949398 0.00055654466026 0.381554677959 0.00131684361793 0.924345164919 
-1.02740103323e-06 -0.00127716198495 0.0001902498851 0.000593445065479 0.381480661832 0.00140293673317 0.924375564497 
-1.07825706678e-06 -0.00128224023868 0.000196192679587 0.000631556799844 0.381404290675 0.00149174267389 0.924406914132 
-1.13035857902e-06 -0.00128731849441 0.000202135333957 0.000670882277519 0.381325563898 0.0015832602394 0.924439212453 
-1.18371519826e-06 -0.0012923967526 0.000208077849315 0.000711423906471 0.381244480895 0.00167748822721 0.924472458052 
-1.23833655278e-06 -0.00129747501376 0.000214020226763 0.000753184088445 0.381161041038 0.001774425433 0.924506649475 
-1.2942322708e-06 -0.00130255327835 0.00021996246741 0.000796165218934 0.381075243683 0.00187407065052 0.924541785228 
-1.35141198052e-06 -0.00130763154686 0.000225904572363 0.000840369687158 0.380987088164 0.00197642267158 0.924577863776 
-1.40988531009e-06 -0.00131270981975 0.000231846542733 0.000885799876029 0.3808965738 0.002081480286 0.924614883541 
-1.46966188766e-06 -0.00131778809748 0.000237788379633 0.00093245816213 0.380803699889 0.00218924228155 0.924652842904 
